snippet_id,entry_id,date,actor_type,actor_name,country,url,matched_paragraph,matched_group1,matched_group2,regulatory_tool,position,argument_type,notes
0,0,14 October 2025,Business association,DIGITALEUROPE,Belgium,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14855-Simplification-digital-package-and-omnibus/F33103770_en,"ative effects. First, long-term SaaS contracts, often essential 
for  both  service  providers  and  users,  would  become  commercially  unfeasible.  Second,  the  risk  of  being 
required to develop switching mechanisms for bespoke applications disincentivises long-term R&D and new 
offerings. Finally, imposing uniform switching standards risks flattening the diversity of software solutions, 
discouraging the creation of high-value services. 

To  avoid  these  negative  outcomes,  the  cloud  portability  provisions  should  be  explicitly  limited  to 
infrastructure  services.  These  are  the  areas  where  portability  is  technically  feasible  and  economically 
justified,  as  users  typically  require  flexibility  to  migrate  basic  computing  and  storage  resources  across 
providers. 

Simplify technical requirements for portability 

Under  Art.  30(1),  providers  of  infrastructure-related  services  must  ‘facilitate  the  switching  process’  by 
offering  not  only  information  and documentation,  but  also any  necessary  ‘capabilities,’  technical  support 
and tools – an obligation that is highly demanding. 

Arts 33 and 35 allow the Commission to impose harmonised standards or common specifications, a top-
down approach that overrides industry-led efforts. 

To address the excessive complexity introduced by Chapter VIII, the digital package should focus on two 
key simplifications: 

  IaaS providers should be required to enable data and workload portability using documented, 
widely adopted formats. Obligations should be limited to providing essential documentation and 
technical information, without requiring proprietary tools or bespoke migration support;16 and 

  The possibility for the Commission to impose harmonised standards or common specifications 
should  be  removed.  Instead,  consistent  with  current  Art.  33(11),  the  Commission  should  issue 
non-binding  guidelines  where  necessary,  allowing  standards  and  other  industry  initiatives  to 
evolve alongside technologies and market demand. 

16 Art. 30(1) refers to ‘all reasonable measures in [the providers’] power,’ which could be interpreted in 
line with our proposed approach. The digital package should clarify this reading explicitly. 

7 

 
 
 
 
 
 
 
 
 
 
 
Allow flexible switching timelines 

The  contractual  switching  framework  established  under  Art.  25  intro",simplification,harmonised standards,AI_standards,pro_deregulation,industry_self_regulation,"Data Act cloud portability context (Art. 33/35 Data Act), not AI Act — possible false positive"
1,0,14 October 2025,Business association,DIGITALEUROPE,Belgium,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14855-Simplification-digital-package-and-omnibus/F33103770_en,"tructure  services.  These  are  the  areas  where  portability  is  technically  feasible  and  economically 
justified,  as  users  typically  require  flexibility  to  migrate  basic  computing  and  storage  resources  across 
providers. 

Simplify technical requirements for portability 

Under  Art.  30(1),  providers  of  infrastructure-related  services  must  ‘facilitate  the  switching  process’  by 
offering  not  only  information  and documentation,  but  also any  necessary  ‘capabilities,’  technical  support 
and tools – an obligation that is highly demanding. 

Arts 33 and 35 allow the Commission to impose harmonised standards or common specifications, a top-
down approach that overrides industry-led efforts. 

To address the excessive complexity introduced by Chapter VIII, the digital package should focus on two 
key simplifications: 

  IaaS providers should be required to enable data and workload portability using documented, 
widely adopted formats. Obligations should be limited to providing essential documentation and 
technical information, without requiring proprietary tools or bespoke migration support;16 and 

  The possibility for the Commission to impose harmonised standards or common specifications 
should  be  removed.  Instead,  consistent  with  current  Art.  33(11),  the  Commission  should  issue 
non-binding  guidelines  where  necessary,  allowing  standards  and  other  industry  initiatives  to 
evolve alongside technologies and market demand. 

16 Art. 30(1) refers to ‘all reasonable measures in [the providers’] power,’ which could be interpreted in 
line with our proposed approach. The digital package should clarify this reading explicitly. 

7 

 
 
 
 
 
 
 
 
 
 
 
Allow flexible switching timelines 

The  contractual  switching  framework  established  under  Art.  25  introduces  fixed  procedural  timelines  – 
notably a 30-day maximum transitional period and a 30-day minimum retrieval period – which are intended 
to facilitate customer mobility between cloud and edge service providers. 

The  current  design  is  built  on  the  assumption  that  switching  is  a  linear  and  time-bounded  operation.  In 
practice, it is often iterative, multi-staged and contingent on third-party dependencies beyond the provider’s 
or  the  customer’s  control.  For  larger  customers  and  technically  complex  environments,  transitions  may 
i",simplification,harmonised standards,AI_standards,pro_deregulation,industry_self_regulation,"Overlap with #0 — same document, same argument on cloud portability harmonised standards"
2,0,14 October 2025,Business association,DIGITALEUROPE,Belgium,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14855-Simplification-digital-package-and-omnibus/F33103770_en,"eld of activity, as well as national trade associations from across Europe. 

DIGITALEUROPE 
Rue de la Science, 37, B-1040 Brussels 
+32 2 609 53 10  Info@digitaleurope.org  
 www.digitaleurope.org 
EU Transparency Register: 64270747023-20 

  @DIGITALEUROPE   

  DIGITALEUROPE 

  digitaleurope_org 

 
 
 
 
 
 
 
 
 
 
 
 
4 JUNE 2025 

Digital simplification package:  
Our AI recommendations 

Setting the global standard for the regulation of artificial intelligence (AI), the AI Act represents a pivotal 
moment  for  Europe.1  As  the  world’s  most  ambitious  and  comprehensive  AI  law  worldwide,  it  has  the 
potential to both lead innovation and ensure safety. However, its complexity and breadth also make it one 
of the most challenging regulations to get right. 

Our  recommendations  aim  to  strengthen  the  AI  Act’s  global  success  through  the  upcoming  digital 
simplification  package,  by  addressing  some  of  its  most  problematic  provisions  that  risk  undermining 
Europe’s competitiveness. 

Table of contents 

Integrate AI requirements into sectoral laws ............................................................................ 2 

Apply only when harmonised standards are available ............................................................. 3 

Remove common specifications ........................................................................................................ 4 

Expand the legacy clause ........................................................................................................... 5 

Remove unnecessary registrations, assessments and oversight........................................... 5 

Eliminate registration requirements ................................................................................................... 6 

Replace FRIAs with DPIAs .................................................................................................................. 6 

Allow tailored post-market monitoring ............................................................................................... 7 

Remove source code access provisions ........................................................................................... 7 

Remove national powers to expand obligations ............................................................................... 8 

Clarify how GPAI rules apply to deployers ...........",simplification,harmonised standards,AI_standards,pro_simplification,competitiveness,
3,43,14 October 2025,Company/business,Veridas Digital Authentication Solutions,Spain,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14855-Simplification-digital-package-and-omnibus/F33088948_en,"n should mean that compliance work done under one regulation can 

be reused under others where requirements overlap. 

At  present,  organisations  often  have 

technical 
documentation, audits and risk analyses for each regulation, even when the content 
is similar. 

to  prepare  different 

We  encourage  the  Commission  to  develop  a  common  model  (possibly 
coordinated with ENISA) that allows conformity elements such as risk management, 
documentation  or  traceability  to  be  recognised  across  related  instruments  (AI  Act, 
eIDAS2, CRA, NIS2). 

This  would  not  reduce  obligations  but  would  make compliance more consistent 

and transparent for both companies and authorities. 

/2. Coordinated and proportional incident reporting 

A  single  EU  channel  for  incident  reporting  would  help  avoid  duplication  and 

delays. 

Such  a  system  should  allow  companies  to  report  an  incident  once,  using 
incidents  (for  example, 
structured  ﬁelds  that  distinguish  between  types  of 
cybersecurity,  trust  service,  or  data  protection).  Competent  authorities  would  then 
receive only the information relevant to their responsibilities. 

/3. Using harmonised standards instead of new speciﬁcations 

The EU already has a mature system of standards developed by CEN, CENELEC 

All rights reserved – This document contains conﬁdential information, property of Veridas Digital Authentication Solutions, S.L., and cannot be reproduced, copied, or 
revealed to third parties, without the express written authorization of Veridas. The information of this document must be kept secret and used in the exclusive beneﬁt of 
Veridas 

/1 

 
 
 
 
 
 
 
and ETSI, often aligned with ISO/IEC. 

These  standards  (for  example,  ETSI  EN  319  401/411  or  ISO/IEC  27001/42001) 

provide an effective basis for demonstrating compliance. 

New “Common Speciﬁcations” issued directly by the Commission should be used 
only  where  no  standard  exists,  and  developed  together  with  the  European 
Standardisation Organisations. 

This  would  avoid  creating  parallel  rulebooks  and  ensure 
especially for the future EU Digital Identity and Business Wallets. 

interoperability, 

/4. Consistency across digital legislation 

The Digital Omnibus should help align how different laws are applied in practice. 

Requirements  for  security,  data  protection and AI governan",digital omnibus,harmonised standards,AI_standards,pro_simplification,regulatory_coherence,
4,55,14 October 2025,Business association,Dutch Startup Association,Netherlands,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14855-Simplification-digital-package-and-omnibus/F33088893_en,"ny and a 50,000-person platform alike is not proportionate by default. 

2. Cookies, Consent, and Competition 

We support the Commission’s efforts to address cookie fatigue and improve transparency for 
consumers. Current consent banners often overwhelm users and fail to foster meaningful 
choice. 

However, browsers and operating systems must not become new gatekeepers. Shifting 
consent management to browsers or app stores would concentrate control in a few large 
platforms and undermine the very competition policy goals of the EU. 

Startups relying on responsible digital advertising and data-driven innovation risk being cut 
off from their users and markets. The solution lies in: 

●  Simplified, standardised consent UX that empowers users directly; 
● 
Interoperable, open consent mechanisms, governed under clear EU standards; 
●  Avoiding default blocking of third-party cookies that shuts out small publishers and 

startups from visibility and monetisation. 

 
 
 
 
 
3. Implementation of the AI Act: Timing, Guidance, and Support 

European startups are committed to developing trustworthy, safe, and innovative AI. 
However the implementation environment remains fragmented. Harmonised standards are 
not yet available, and national authorities are already interpreting early-stage obligations 
inconsistently. 

To ensure legal clarity and foster innovation, the Digital Omnibus should: 

●  Phase in high-risk AI obligations until harmonised standards and conformity 

assessment procedures are fully operational; 

●  Guarantee full alignment with the GDPR and the Data Act, preventing overlapping 

documentation, reporting, or assessment requirements; 

●  Establish an “AI Startup Compliance Sandbox” under the European AI Office, 

providing model documentation, certification templates, and practical early-stage 
guidance for startups. 

Without such targeted adjustments, the risks are significant. Uncertainty and fragmented 
enforcement could lead startups to halt AI development altogether or relocate outside the EU 
to avoid unpredictable compliance costs. A phased, supportive, and consistent 
implementation is therefore essential to maintain Europe’s competitiveness in trustworthy AI. 

4. Data Access and Sharing: From Principle to Practice 

The Free Flow of Non-Personal Data Regulation works in theory, but enforcement and 
awareness remain weak. The Data Governance Act a",digital omnibus,harmonised standards,AI_standards,pro_simplification,technical_feasibility,
5,55,14 October 2025,Business association,Dutch Startup Association,Netherlands,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14855-Simplification-digital-package-and-omnibus/F33088893_en,"rs and fail to foster meaningful 
choice. 

However, browsers and operating systems must not become new gatekeepers. Shifting 
consent management to browsers or app stores would concentrate control in a few large 
platforms and undermine the very competition policy goals of the EU. 

Startups relying on responsible digital advertising and data-driven innovation risk being cut 
off from their users and markets. The solution lies in: 

●  Simplified, standardised consent UX that empowers users directly; 
● 
Interoperable, open consent mechanisms, governed under clear EU standards; 
●  Avoiding default blocking of third-party cookies that shuts out small publishers and 

startups from visibility and monetisation. 

 
 
 
 
 
3. Implementation of the AI Act: Timing, Guidance, and Support 

European startups are committed to developing trustworthy, safe, and innovative AI. 
However the implementation environment remains fragmented. Harmonised standards are 
not yet available, and national authorities are already interpreting early-stage obligations 
inconsistently. 

To ensure legal clarity and foster innovation, the Digital Omnibus should: 

●  Phase in high-risk AI obligations until harmonised standards and conformity 

assessment procedures are fully operational; 

●  Guarantee full alignment with the GDPR and the Data Act, preventing overlapping 

documentation, reporting, or assessment requirements; 

●  Establish an “AI Startup Compliance Sandbox” under the European AI Office, 

providing model documentation, certification templates, and practical early-stage 
guidance for startups. 

Without such targeted adjustments, the risks are significant. Uncertainty and fragmented 
enforcement could lead startups to halt AI development altogether or relocate outside the EU 
to avoid unpredictable compliance costs. A phased, supportive, and consistent 
implementation is therefore essential to maintain Europe’s competitiveness in trustworthy AI. 

4. Data Access and Sharing: From Principle to Practice 

The Free Flow of Non-Personal Data Regulation works in theory, but enforcement and 
awareness remain weak. The Data Governance Act and Open Data Directive hold promise, 
yet their potential for startups is under-realised. 

Europe must move from permission to participation — making valuable public and private 
datasets actually accessible through predictable APIs and clear licensing fram",digital omnibus,harmonised standards,AI_standards,pro_simplification,technical_feasibility,Overlap with #4 — same document section
6,55,14 October 2025,Business association,Dutch Startup Association,Netherlands,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14855-Simplification-digital-package-and-omnibus/F33088893_en,"eventing overlapping 

documentation, reporting, or assessment requirements; 

●  Establish an “AI Startup Compliance Sandbox” under the European AI Office, 

providing model documentation, certification templates, and practical early-stage 
guidance for startups. 

Without such targeted adjustments, the risks are significant. Uncertainty and fragmented 
enforcement could lead startups to halt AI development altogether or relocate outside the EU 
to avoid unpredictable compliance costs. A phased, supportive, and consistent 
implementation is therefore essential to maintain Europe’s competitiveness in trustworthy AI. 

4. Data Access and Sharing: From Principle to Practice 

The Free Flow of Non-Personal Data Regulation works in theory, but enforcement and 
awareness remain weak. The Data Governance Act and Open Data Directive hold promise, 
yet their potential for startups is under-realised. 

Europe must move from permission to participation — making valuable public and private 
datasets actually accessible through predictable APIs and clear licensing frameworks. 

We propose: 

●  EU-wide open data registry listing accessible public datasets, with machine-readable 

metadata and harmonised standards; 

●  Cross-border reuse of public sector data for emerging sectors like climate tech, 

health, mobility, and fintech; 

●  Secure but fair access to industrial and government datasets to foster innovation 

while maintaining data protection. 

Startups can be the “translators” of open data into usable services — if they are allowed in. 

 
 
 
 
 
 
 
5. Cybersecurity and Reporting: Simplify to Secure 

Startups fully support the EU’s cybersecurity objectives. However, the multiplication of 
reporting obligations under NIS2, DORA, CRA, and other frameworks is creating overlap, 
cost, and confusion. 

We recommend: 

●  One-stop digital incident reporting system under ENISA for all relevant frameworks; 
●  Tiered obligations based on company size and risk profile; 
●  Practical templates and response standards co-created with SME and startup 

organisations. 

Simplification will not reduce security — it will increase compliance and resilience by making 
rules actually implementable. 

6. Governance: Build with, Not for, Startups 

The Omnibus must institutionalise startup representation in digital policy design. 
Governance mechanisms should include: 

●  Structured consultatio",simplification,harmonised standards,AI_standards,pro_simplification,regulatory_coherence,"Harmonised standards refers to open data metadata, not AI Act — likely false positive"
7,57,14 October 2025,Non-governmental organisation (NGO),Culture Action Europe,Belgium,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14855-Simplification-digital-package-and-omnibus/F33088889_en,"ap by promoting inclusive and 
representative governance structures that reflect the diversity and value of the 
cultural and creative sectors. 

- 

 
 
 
In particular, the European Data Innovation Board currently lacks overarching 
representation from the cultural and creative sectors in its stakeholder sub-group, 
despite the sector’s clear impact: the European Parliament Research Service 
report shows that every €1 invested in the cultural and creative sectors at the EU 
level yields €11 in GDP. If the Commission aims to fulfil Article 30 of the Data 
Governance Act, ensuring adequate stakeholder representation and effective 
implementation, the cultural and creative sectors must be meaningfully included. 

Similarly, cultural sector stakeholders should become part of the European 
Artificial Intelligence Board, the Advisory Forum, the Scientific Panel of 
Independent Experts, as well as within national competent authorities (notifying 
authorities and market surveillance authorities). Additionally, given the non-
binding nature of the Code of Practice, the cultural sector should actively 
participate in further consultations with the European Standards Organisations on 
the harmonised standards drafting. 

3. Strengthening European cultural data spaces.  

We recommend that the Digital Omnibus explicitly recognises the value of 
accessible, high-quality common data spaces for culture. 

Initiatives under the Digital Europe programme have already demonstrated the 
value of digital cultural heritage projects. As recognised by the Open Data 
Directive, the digitisation of cultural heritage has significantly increased public 
domain content and created rich data sources for learning and innovation. 
Platforms like Europeana have improved access to digital cultural heritage and 
expanded participation in culture across Europe. We recommend that the 
European Commission builds on these successes by expanding cultural data 
spaces within existing EU infrastructure while also exploring synergies between 
different data spaces, such as the European Data Space for Cultural Heritage and 
the Green Deal Data Space. 

The Digital Omnibus should also prioritise the representation of the cultural and 
creative sectors in all current and future expert groups on data spaces. The Expert 
Group on a Common European Data Space for Cultural Heritage is a positive 
example, especially its sub",digital omnibus,harmonised standards,AI_standards,neutral_ambivalent,inclusive_governance,
8,57,14 October 2025,Non-governmental organisation (NGO),Culture Action Europe,Belgium,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14855-Simplification-digital-package-and-omnibus/F33088889_en,"ives of the 
cultural and creative sectors remain largely absent from data governance 
structures. 

The Digital Omnibus should address this gap by promoting inclusive and 
representative governance structures that reflect the diversity and value of the 
cultural and creative sectors. 

- 

 
 
 
In particular, the European Data Innovation Board currently lacks overarching 
representation from the cultural and creative sectors in its stakeholder sub-group, 
despite the sector’s clear impact: the European Parliament Research Service 
report shows that every €1 invested in the cultural and creative sectors at the EU 
level yields €11 in GDP. If the Commission aims to fulfil Article 30 of the Data 
Governance Act, ensuring adequate stakeholder representation and effective 
implementation, the cultural and creative sectors must be meaningfully included. 

Similarly, cultural sector stakeholders should become part of the European 
Artificial Intelligence Board, the Advisory Forum, the Scientific Panel of 
Independent Experts, as well as within national competent authorities (notifying 
authorities and market surveillance authorities). Additionally, given the non-
binding nature of the Code of Practice, the cultural sector should actively 
participate in further consultations with the European Standards Organisations on 
the harmonised standards drafting. 

3. Strengthening European cultural data spaces.  

We recommend that the Digital Omnibus explicitly recognises the value of 
accessible, high-quality common data spaces for culture. 

Initiatives under the Digital Europe programme have already demonstrated the 
value of digital cultural heritage projects. As recognised by the Open Data 
Directive, the digitisation of cultural heritage has significantly increased public 
domain content and created rich data sources for learning and innovation. 
Platforms like Europeana have improved access to digital cultural heritage and 
expanded participation in culture across Europe. We recommend that the 
European Commission builds on these successes by expanding cultural data 
spaces within existing EU infrastructure while also exploring synergies between 
different data spaces, such as the European Data Space for Cultural Heritage and 
the Green Deal Data Space. 

The Digital Omnibus should also prioritise the representation of the cultural and 
creative sectors in all current and futur",digital omnibus,code of practice,GPAI_CoP,neutral_ambivalent,inclusive_governance,
9,67,14 October 2025,Other,Alliance for Responsible Data Collection,United States,https://ec.europa.eu/info/law/better-regulation/have-your-say/initiatives/14855-Simplification-digital-package-and-omnibus/F33088854_en,"Alliance for Responsible Data Collection Comments on EU Digital Simplification Package on Digital 
Regulations,  submitted October 14, 2025 

The Alliance for Responsible Data Collection (ARDC) submits the following feedback on the impact of 
Measure 1.3(1)(a) of the EU AI Act Code of Practice.  Measure 1.3(1)(A), which requires signatories to 
only use web crawlers that read and follow instructions in the Robots Exclusion Protocol (robots.txt) and 
any subsequent version the IETF demonstrates is technically feasible, is creating an anti-competitive, 
legally incoherent, and technically unworkable framework for AI governance. Its adoption lays the 
groundwork for a new category of exclusionary rights— allowing entities to privatize access to public 
web data that is neither private, copyrighted, nor copyrightable. This transforms a voluntary technical 
convention into a legal gatekeeping mechanism that threatens the open character of the web itself. 

1. Anti-Competitive Consequences
By endorsing robots.txt as an access-control mechanism, the Code of Practice risks cementing a “pay-
per-crawl” model of the internet. Under such a regime, large technology firms with financial and legal
resources will be able to negotiate individualized data-access arrangements while small and medium-
sized enterprises and non-profits are unable to compete. Humans browsing the same sites remain free
to view the data, but those who rely on automated tools for large-scale analysis must eithe",simplification,code of practice,GPAI_CoP,pro_deregulation,competition_harm,
